domain,problem,name,exit_code,total_time,search_time,solution_time,plan_length
driverlog,p01,S_TIME,0,0.0742062,0.0332983,0.0742062,47
driverlog,p02,L_TIME,0,,,,
driverlog,p02,S_TIME,0,0.138133,0.075254,0.138133,86
driverlog,p03,L_TIME,0,,,,
driverlog,p03,S_TIME,0,0.243368,0.152396,0.243368,98
driverlog,p04,L_TIME,0,,,,
driverlog,p04,S_TIME,0,0.38415,0.238055,0.38415,107
driverlog,p05,L_TIME,0,,,,
driverlog,p05,S_TIME,0,0.697955,0.509087,0.697955,131
driverlog,p06,L_TIME,0,,,,
driverlog,p06,S_TIME,0,1.17221,0.913546,1.17221,160
driverlog,p07,L_TIME,0,,,,
driverlog,p07,S_TIME,0,1.85572,1.52559,1.85572,204
driverlog,p08,L_TIME,0,,,,
driverlog,p08,S_TIME,0,2.11707,1.6464,2.11707,195
driverlog,p09,L_TIME,0,,,,
driverlog,p09,S_TIME,0,2.64645,2.07484,2.64645,216
driverlog,p10,L_TIME,0,,,,
driverlog,p10,S_TIME,0,4.86608,4.11386,4.86608,237
driverlog,p11,L_TIME,0,,,,
driverlog,p11,S_TIME,0,5.08078,4.0528,5.08078,282
driverlog,p12,L_TIME,0,,,,
driverlog,p12,S_TIME,0,20.695,19.6876,20.695,418
driverlog,p13,L_TIME,0,,,,
driverlog,p13,S_TIME,0,36.6866,35.7091,36.6866,419
driverlog,p14,L_TIME,0,,,,
driverlog,p14,S_TIME,0,27.8173,26.7729,27.8173,430
driverlog,p15,L_TIME,0,,,,
driverlog,p15,S_TIME,0,35.2417,33.9158,35.2417,472
driverlog,p16,L_TIME,0,,,,
driverlog,p16,S_TIME,0,47.0808,45.6801,47.0808,506
driverlog,p17,L_TIME,0,,,,
driverlog,p17,S_TIME,0,72.9014,71.2547,72.9014,574
driverlog,p18,L_TIME,0,,,,
driverlog,p18,S_TIME,0,73.9107,72.3309,73.9107,529
driverlog,p19,L_TIME,0,,,,
driverlog,p19,S_TIME,0,168.116,166.185,168.116,653
driverlog,p20,L_TIME,0,,,,
driverlog,p20,S_TIME,0,309.534,305.748,309.534,731
driverlog,p21,L_TIME,0,,,,
driverlog,p21,S_TIME,0,237.009,233.312,237.009,671
driverlog,p22,L_TIME,0,,,,
driverlog,p22,S_TIME,0,502.439,497.082,502.439,823
driverlog,p23,L_TIME,0,,,,
driverlog,p23,S_TIME,0,530.899,524.754,530.899,763
driverlog,p24,L_TIME,0,,,,
driverlog,p24,S_TIME,0,686.744,680.42,686.744,783
driverlog,p25,L_TIME,0,,,,
driverlog,p25,S_TIME,0,735.415,727.423,735.415,945
driverlog,p26,L_TIME,0,,,,
driverlog,p26,S_TIME,0,669.683,661.958,669.683,865
driverlog,p27,L_TIME,0,,,,
driverlog,p27,S_TIME,0,715.438,708.438,715.438,904
driverlog,p28,L_TIME,0,,,,
driverlog,p28,S_TIME,0,707.53,700.434,707.53,859
driverlog,p29,L_TIME,0,,,,
driverlog,p29,S_TIME,0,1358.33,1348.5,1358.33,1050
driverlog,p30,L_TIME,0,,,,
driverlog,p30,S_TIME,0,968.915,958.907,968.915,1112
floortile,p01,L_TIME,0,,,,
floortile,p01,S_TIME,0,0.00859623,0.00116241,0.00859623,13
floortile,p02,L_TIME,0,,,,
floortile,p02,S_TIME,0,29.8494,29.8396,29.8494,45
floortile,p03,L_TIME,22,,,,
floortile,p03,S_TIME,22,,,,
floortile,p04,L_TIME,22,,,,
floortile,p04,S_TIME,22,,,,
floortile,p05,L_TIME,22,,,,
floortile,p05,S_TIME,22,,,,
floortile,p06,L_TIME,22,,,,
floortile,p06,S_TIME,22,,,,
floortile,p07,L_TIME,22,,,,
floortile,p07,S_TIME,22,,,,
floortile,p08,L_TIME,22,,,,
floortile,p08,S_TIME,22,,,,
floortile,p09,L_TIME,22,,,,
floortile,p09,S_TIME,22,,,,
floortile,p10,L_TIME,22,,,,
floortile,p10,S_TIME,22,,,,
floortile,p11,L_TIME,22,,,,
floortile,p11,S_TIME,22,,,,
floortile,p12,L_TIME,22,,,,
floortile,p12,S_TIME,22,,,,
floortile,p13,L_TIME,22,,,,
floortile,p13,S_TIME,22,,,,
floortile,p14,L_TIME,124,,,,
floortile,p14,S_TIME,124,,,,
floortile,p15,L_TIME,124,,,,
floortile,p15,S_TIME,124,,,,
floortile,p16,L_TIME,124,,,,
floortile,p16,S_TIME,124,,,,
floortile,p17,L_TIME,124,,,,
floortile,p17,S_TIME,124,,,,
floortile,p18,L_TIME,124,,,,
floortile,p18,S_TIME,124,,,,
floortile,p19,L_TIME,124,,,,
floortile,p19,S_TIME,124,,,,
floortile,p20,L_TIME,124,,,,
floortile,p20,S_TIME,124,,,,
floortile,p21,L_TIME,124,,,,
floortile,p21,S_TIME,124,,,,
floortile,p22,L_TIME,124,,,,
floortile,p22,S_TIME,124,,,,
floortile,p23,L_TIME,124,,,,
floortile,p23,S_TIME,124,,,,
floortile,p24,L_TIME,124,,,,
floortile,p24,S_TIME,124,,,,
floortile,p25,L_TIME,124,,,,
floortile,p25,S_TIME,124,,,,
floortile,p26,L_TIME,124,,,,
floortile,p26,S_TIME,124,,,,
floortile,p27,L_TIME,124,,,,
floortile,p27,S_TIME,124,,,,
floortile,p28,L_TIME,124,,,,
floortile,p28,S_TIME,124,,,,
floortile,p29,L_TIME,124,,,,
floortile,p29,S_TIME,124,,,,
floortile,p30,L_TIME,124,,,,
floortile,p30,S_TIME,124,,,,
grid,p01,L_TIME,0,,,,
grid,p01,S_TIME,0,0.0211068,0.00316169,0.0211068,37
grid,p02,L_TIME,0,,,,
grid,p02,S_TIME,0,0.0423486,0.00419964,0.0423486,38
grid,p03,L_TIME,0,,,,
grid,p03,S_TIME,0,0.0772737,0.00789307,0.0772737,39
grid,p04,L_TIME,0,,,,
grid,p04,S_TIME,0,0.112139,0.00196669,0.112139,15
grid,p05,L_TIME,0,,,,
grid,p05,S_TIME,0,0.685478,0.192898,0.685478,231
grid,p06,L_TIME,0,,,,
grid,p06,S_TIME,0,0.891929,0.261658,0.891929,89
grid,p07,L_TIME,0,,,,
grid,p07,S_TIME,0,1.49571,0.18405,1.49571,164
grid,p08,L_TIME,20,,,,
grid,p08,S_TIME,0,2.74235,0.825028,2.74235,297
grid,p09,L_TIME,20,,,,
grid,p09,S_TIME,0,8.57061,4.11737,8.57061,650
grid,p10,L_TIME,20,,,,
grid,p10,S_TIME,0,16.969,13.2754,16.969,727
grid,p11,L_TIME,20,,,,
grid,p11,S_TIME,0,3.57776,0.359953,3.57776,113
grid,p12,L_TIME,20,,,,
grid,p12,S_TIME,124,,,,
grid,p13,L_TIME,20,,,,
grid,p13,S_TIME,124,,,,
grid,p14,L_TIME,20,,,,
grid,p14,S_TIME,0,21.9299,6.4056,21.9299,611
grid,p15,L_TIME,20,,,,
grid,p15,S_TIME,0,58.8078,27.6709,58.8078,953
grid,p16,L_TIME,20,,,,
grid,p16,S_TIME,0,109.725,78.1404,109.725,1112
grid,p17,L_TIME,20,,,,
grid,p17,S_TIME,124,,,,
grid,p18,L_TIME,20,,,,
grid,p18,S_TIME,0,99.9432,50.3874,99.9432,944
