id,domain,meta-action,total-refinement-time,valid-refinements,already-valid,succeded,state-space-search-time,stackelberg-output-parsing,initial-refinement-possibilities,final-refinement-possibilities
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_on_11,3017804,0,False,False,2869643,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_on_20,2319050,0,False,False,2261828,2,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_clear_7,2985975,0,False,False,2804797,2,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,depots,$meta_at_3,2377881,0,False,False,2225196,2,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,$meta_at_0,1837233,1,False,True,644959,629,140,25
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,$meta_empty_0,358322,1,False,True,1184,2,20,3
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,$meta_at_1,238037,1,False,True,1056,2,30,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,$meta_in_0,417532,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,$meta_driving_0,335575,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,driverlog,$meta_at_2,366432,1,False,True,1222,2,20,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,driverlog,$meta_empty_0,373588,1,False,True,1085,14,20,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,driverlog,$meta_at_0,2214574,1,False,True,640293,14,140,29
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,driverlog,$meta_at_2,369847,1,False,True,3013,2,20,3
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,driverlog,$meta_driving_0,335651,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,floor-tile,$meta_robot-has_0,40673,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,floor-tile,$meta_painted_0,1565525,0,False,False,1562371,25,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,floor-tile,$meta_painted_1,1539549,0,False,False,1534463,5,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,floor-tile,$meta_clear_0,1583502,0,False,False,1580410,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,$meta_painted_0,1564536,0,False,False,1561379,8,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,$meta_clear_0,1619980,0,False,False,1616875,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,$meta_painted_1,1536563,0,False,False,1529459,6,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,$meta_clear_1,1534882,0,False,False,1531784,5,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,floor-tile,$meta_robot-has_0,35281,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,$meta_at-robot_0,676109,1,False,True,313539,115,432,32
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,$meta_arm-empty_0,586809,1,False,True,46231,19,80,7
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,$meta_at_0,579088,1,False,True,40058,14,80,7
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,$meta_holding_0,1015067,1,False,True,316460,13,80,7
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,grid,$meta_open_0,302404,0,False,False,0,0,0,0
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,$meta_at-robot_0,673692,1,False,True,317572,127,432,32
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,$meta_arm-empty_0,583570,1,False,True,44055,19,80,7
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,$meta_holding_0,1018939,1,False,True,319601,14,80,7
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,$meta_at_0,572989,1,False,True,39056,14,80,7
CPDDLMutexed+ReducesMetaSearchTimeTop10+ReducesMetaSearchTimeTop2,grid,$meta_open_0,303092,0,False,False,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,gripper-strips,$meta_at_0,776646,1,False,True,306729,25,47,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,gripper-strips,$meta_free_0,716431,1,False,True,306162,14,47,6
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,gripper-strips,$meta_carry_0,308485,1,True,True,0,0,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,$meta_walked,894357,0,False,False,888583,122,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,$meta_at_tent,617054,0,False,False,610417,30,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,$meta_at_person_0,50369,0,False,False,44103,63,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,$meta_at_car_0,60214,0,False,False,54777,18,0,0
CPDDLMutexed+ReducesPlanLengthTop10+ReducesPlanLengthTop2,hiking,$meta_up,59512,1,False,True,5253,9,1,1
